passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount,trep_driving_time
Pamela Duffy,2017-03-25 08:55:43,2017-03-25 09:09:47,Card,6,3.34,13.0,2.76,0.0,14.066666666666666
Michelle Foster,2017-04-11 14:53:28,2017-04-11 15:19:58,Card,1,1.8,16.0,4.0,0.0,26.5
Tina Combs,2017-12-15 07:26:56,2017-12-15 07:34:08,Card,1,1.0,6.5,1.45,0.0,7.2
Anthony Ray,2017-05-07 13:17:59,2017-05-07 13:48:14,Cash,1,3.7,20.5,6.39,0.0,30.25
Brianna Johnson,2017-04-15 23:32:20,2017-04-15 23:49:03,Card,1,4.37,16.5,0.0,0.0,16.716666666666665
Justin Smith,2017-03-25 20:34:11,2017-03-25 20:42:11,Card,6,2.3,9.0,2.06,0.0,8.0
Tonya Moreno,2017-05-03 19:04:09,2017-05-03 20:03:47,Cash,1,12.83,47.5,9.86,0.0,59.63333333333333
Hannah Foley,2017-08-15 17:41:06,2017-08-15 18:03:05,Card,1,2.98,16.0,1.78,0.0,21.983333333333334
Katie Whitney,2017-02-04 16:17:07,2017-02-04 16:29:14,Cash,1,1.2,9.0,0.0,0.0,12.116666666666667
Amanda Jones,2017-11-10 15:20:29,2017-11-10 15:40:55,Cash,1,1.6,13.0,2.75,0.0,20.433333333333334
Cory Jensen,2017-03-04 11:58:00,2017-03-04 12:13:12,Cash,1,1.77,11.5,2.46,0.0,15.2
Jamie Brown,2017-03-05 19:15:30,2017-03-05 19:52:18,Card,2,18.9,52.0,14.58,5.54,36.8
Ryan Reyes,2017-06-09 19:00:26,2017-06-09 19:20:11,Card,1,3.0,15.0,3.35,0.0,19.75
Jessica Mooney,2017-11-06 23:35:05,2017-11-06 23:42:57,Card,1,2.39,9.5,2.16,0.0,7.866666666666666
Heidi May,2017-02-22 15:18:31,2017-02-22 15:42:50,Cash,1,3.3,17.5,4.55,0.0,24.316666666666666
Anthony Richard,2017-06-02 06:41:39,2017-06-02 06:57:47,Card,1,5.93,19.0,3.0,0.0,16.133333333333333
Sarah Gross,2017-08-15 19:48:08,2017-08-15 20:00:37,Cash,1,3.6,12.5,2.85,0.0,12.483333333333333
Sarah Gross,2017-08-15 19:48:08,2017-08-15 20:00:37,Cash,1,3.6,12.5,2.85,0.0,12.483333333333333
Susan Robinson,2017-07-10 13:36:31,2017-07-10 13:48:43,Cash,2,1.71,9.5,0.0,0.0,12.2
Cynthia Mendoza,2017-04-10 18:12:58,2017-04-10 18:17:39,Cash,2,0.63,5.0,0.0,0.0,4.683333333333334
Zachary James,2017-03-05 04:01:07,2017-03-05 04:14:11,Card,2,2.77,11.5,3.2,0.0,13.066666666666666
Marissa Scott,2017-12-30 23:52:44,2017-12-30 23:58:57,Card,1,1.1,6.5,0.0,0.0,6.216666666666667
Jacqueline Mclean DVM,2017-10-11 12:34:49,2017-10-11 13:22:38,Card,1,12.3,68.25,12.0,16.26,47.81666666666667
Krista Stewart,2017-01-06 20:12:07,2017-01-06 20:18:37,Cash,1,0.52,5.5,1.0,0.0,6.5
Mike Taylor,2017-06-27 00:08:22,2017-06-27 00:13:45,Card,1,1.7,7.0,2.05,0.0,5.383333333333334
Heather Johnson,2017-02-13 10:29:33,2017-02-13 10:34:11,Cash,1,0.9,5.5,1.25,0.0,4.633333333333334
Tiffany Ramirez,2017-01-14 19:58:42,2017-01-14 20:05:59,Card,1,1.72,8.0,2.79,0.0,7.283333333333333
James Taylor,2017-11-04 01:27:59,2017-11-04 01:44:05,Card,1,2.7,13.0,2.85,0.0,16.1
Gabriela Bryan,2017-11-24 10:48:13,2017-11-24 10:52:57,Cash,1,0.85,5.5,0.0,0.0,4.733333333333333
Janet Hogan MD,2017-11-22 10:24:17,2017-11-22 10:38:52,Cash,1,2.3,11.0,2.35,0.0,14.583333333333334
Jessica Cohen,2017-08-09 21:01:50,2017-08-09 21:14:28,Cash,1,2.3,10.5,1.77,0.0,12.633333333333333
Katherine Martin,2017-04-12 11:07:56,2017-04-12 11:19:29,Cash,4,1.5,9.0,0.0,0.0,11.55
Amy Larsen,2017-07-26 23:26:50,2017-07-26 23:55:49,Cash,1,14.32,40.5,0.0,0.0,28.983333333333334
Adrienne Mitchell,2017-10-26 19:43:07,2017-10-26 20:06:02,Cash,1,2.9,15.5,3.45,0.0,22.916666666666668
Michael Murphy,2017-03-04 18:19:04,2017-03-04 18:32:13,Card,1,1.7,10.5,1.7,0.0,13.15
Benjamin Walls,2017-11-05 01:35:25,2017-11-05 01:43:39,Cash,5,2.69,9.5,0.0,0.0,8.233333333333333
